iso_8601,seconds_in_day,HH,MM,SS,bucket
00:08:22,502,00,08,22,EARLY MORNING
00:08:23,503,00,08,23,EARLY MORNING
00:08:24,504,00,08,24,EARLY MORNING
00:08:25,505,00,08,25,EARLY MORNING
00:08:26,506,00,08,26,EARLY MORNING
00:08:27,507,00,08,27,EARLY MORNING
00:08:28,508,00,08,28,EARLY MORNING
00:08:29,509,00,08,29,EARLY MORNING
00:08:30,510,00,08,30,EARLY MORNING
00:08:31,511,00,08,31,EARLY MORNING
00:08:32,512,00,08,32,EARLY MORNING
00:08:33,513,00,08,33,EARLY MORNING
00:08:34,514,00,08,34,EARLY MORNING
00:08:35,515,00,08,35,EARLY MORNING
00:08:36,516,00,08,36,EARLY MORNING
00:08:37,517,00,08,37,EARLY MORNING
00:08:38,518,00,08,38,EARLY MORNING
00:08:39,519,00,08,39,EARLY MORNING
00:08:40,520,00,08,40,EARLY MORNING
00:08:41,521,00,08,41,EARLY MORNING
00:08:42,522,00,08,42,EARLY MORNING
00:08:43,523,00,08,43,EARLY MORNING
00:08:44,524,00,08,44,EARLY MORNING
00:08:45,525,00,08,45,EARLY MORNING
00:08:46,526,00,08,46,EARLY MORNING
00:08:47,527,00,08,47,EARLY MORNING
00:08:48,528,00,08,48,EARLY MORNING
00:08:49,529,00,08,49,EARLY MORNING
00:08:50,530,00,08,50,EARLY MORNING
00:08:51,531,00,08,51,EARLY MORNING
00:08:52,532,00,08,52,EARLY MORNING
00:08:53,533,00,08,53,EARLY MORNING
00:08:54,534,00,08,54,EARLY MORNING
00:08:55,535,00,08,55,EARLY MORNING
00:08:56,536,00,08,56,EARLY MORNING
00:08:57,537,00,08,57,EARLY MORNING
00:08:58,538,00,08,58,EARLY MORNING
00:08:59,539,00,08,59,EARLY MORNING
00:09:00,540,00,09,00,EARLY MORNING
00:09:01,541,00,09,01,EARLY MORNING
00:09:02,542,00,09,02,EARLY MORNING
00:09:03,543,00,09,03,EARLY MORNING
00:09:04,544,00,09,04,EARLY MORNING
00:09:05,545,00,09,05,EARLY MORNING
00:09:06,546,00,09,06,EARLY MORNING
00:09:07,547,00,09,07,EARLY MORNING
00:09:08,548,00,09,08,EARLY MORNING
00:09:09,549,00,09,09,EARLY MORNING
00:09:10,550,00,09,10,EARLY MORNING
00:09:11,551,00,09,11,EARLY MORNING
00:09:12,552,00,09,12,EARLY MORNING
00:09:13,553,00,09,13,EARLY MORNING
00:09:14,554,00,09,14,EARLY MORNING
00:09:15,555,00,09,15,EARLY MORNING
00:09:16,556,00,09,16,EARLY MORNING
00:09:17,557,00,09,17,EARLY MORNING
00:09:18,558,00,09,18,EARLY MORNING
00:09:19,559,00,09,19,EARLY MORNING
00:09:20,560,00,09,20,EARLY MORNING
00:09:21,561,00,09,21,EARLY MORNING
00:09:22,562,00,09,22,EARLY MORNING
00:09:23,563,00,09,23,EARLY MORNING
00:09:24,564,00,09,24,EARLY MORNING
00:09:25,565,00,09,25,EARLY MORNING
00:09:26,566,00,09,26,EARLY MORNING
00:09:27,567,00,09,27,EARLY MORNING
00:09:28,568,00,09,28,EARLY MORNING
00:09:29,569,00,09,29,EARLY MORNING
00:09:30,570,00,09,30,EARLY MORNING
00:09:31,571,00,09,31,EARLY MORNING
00:09:32,572,00,09,32,EARLY MORNING
00:09:33,573,00,09,33,EARLY MORNING
00:09:34,574,00,09,34,EARLY MORNING
00:09:35,575,00,09,35,EARLY MORNING
00:09:36,576,00,09,36,EARLY MORNING
00:09:37,577,00,09,37,EARLY MORNING
00:09:38,578,00,09,38,EARLY MORNING
00:09:39,579,00,09,39,EARLY MORNING
00:09:40,580,00,09,40,EARLY MORNING
00:09:41,581,00,09,41,EARLY MORNING
00:09:42,582,00,09,42,EARLY MORNING
00:09:43,583,00,09,43,EARLY MORNING
00:09:44,584,00,09,44,EARLY MORNING
00:09:45,585,00,09,45,EARLY MORNING
00:09:46,586,00,09,46,EARLY MORNING
00:09:47,587,00,09,47,EARLY MORNING
00:09:48,588,00,09,48,EARLY MORNING
00:09:49,589,00,09,49,EARLY MORNING
00:09:50,590,00,09,50,EARLY MORNING
00:09:51,591,00,09,51,EARLY MORNING
00:09:52,592,00,09,52,EARLY MORNING
00:09:53,593,00,09,53,EARLY MORNING
00:09:54,594,00,09,54,EARLY MORNING
00:09:55,595,00,09,55,EARLY MORNING
00:09:56,596,00,09,56,EARLY MORNING
00:09:57,597,00,09,57,EARLY MORNING
00:09:58,598,00,09,58,EARLY MORNING
00:09:59,599,00,09,59,EARLY MORNING
